Age,SFR,Age (Gyr),SFR
8088957055,0.050863765,"8.08895705521472,",0.050863765
9017177914,0.045651962,"9.01717791411042,",0.045651962
9726993865,0.040471321,"9.72699386503067,",0.040471321
10000000000,0.040432369,"10,",0.040432369
10382208589,0.047996884,"10.382208588957,",0.047996884
10764417178,0.054291557,"10.7644171779141,",0.054291557
11201226994,0.06057844,"11.201226993865,",0.06057844
11692638037,0.068127374,"11.6926380368098,",0.068127374
12238650307,0.076938358,"12.2386503067484,",0.076938358
12839263804,0.087011394,"12.8392638036809,",0.087011394
13276073620,0.095837959,"13.2760736196319,",0.095837959
13767484663,0.102117051,"13.7674846625766,",0.102117051
14258895706,0.112205668,"14.2588957055214,",0.112205668
14750306748,0.117214919,"14.7503067484662,",0.117214919
