# Age (Gyr), MW Stellar Mass, LMC Stellar Mass, MW col (Bruzal), LMC col (Bruzal)
9.900000000000000355e+00,5.086165840058647919e+10,1.775514422411554098e+09,3.814400474862064128e-01,2.865028268408778001e-01
1.000000000000000000e+01,5.128800276861195374e+10,1.795033849638972998e+09,3.832935279402217565e-01,2.878938021372950407e-01
1.009999999999999964e+01,5.171280988835367584e+10,1.814625813861544371e+09,3.854212417317107731e-01,2.894526038387745248e-01
1.020000000000000107e+01,5.213602652923796082e+10,1.834290315079272270e+09,3.875943319015504041e-01,2.910487927166514055e-01
1.030000000000000071e+01,5.255765269126482391e+10,1.854044666466384888e+09,3.897646963383877283e-01,2.919753866597646352e-01
1.040000000000000036e+01,5.297769733687898254e+10,1.874095937750566721e+09,3.918920929794555419e-01,2.899026515159929818e-01
1.050000000000000000e+01,5.339636951591259766e+10,1.894504532171083212e+09,3.938246988353610312e-01,2.872153302098888195e-01
1.059999999999999964e+01,5.381375681436580658e+10,1.915270449727933168e+09,3.956737604144044407e-01,2.844161495333515921e-01
1.070000000000000107e+01,5.422975817461351013e+10,1.936516238768988371e+09,3.975598662680580597e-01,2.781342431356900180e-01
1.080000000000000071e+01,5.464429140053141785e+10,1.958962559545614958e+09,3.994362862556272153e-01,2.629194169633956579e-01
1.090000000000000036e+01,5.505735649211927795e+10,1.983169801479248047e+09,4.012824471007213623e-01,2.422125173715052038e-01
1.100000000000000000e+01,5.546895344937726593e+10,2.009236858492250204e+09,4.030961025130388453e-01,2.221197794063955733e-01
1.109999999999999964e+01,5.587899829790792847e+10,2.037854658127272844e+09,4.049872961128803683e-01,1.911974242548789282e-01
1.120000000000000107e+01,5.628722719000461578e+10,2.070859378570962191e+09,4.069990515488075000e-01,1.540558239513010186e-01
1.130000000000000071e+01,5.669363547632082367e+10,2.107840349250658512e+09,4.090055324653182334e-01,1.248276523019888895e-01
1.140000000000000036e+01,5.709831489734346008e+10,2.150095578795128345e+09,4.109576723741902859e-01,9.001709134412776148e-02
1.150000000000000000e+01,5.750131712834931946e+10,2.196854762570778370e+09,4.128273384416565328e-01,7.163878101756628036e-02
1.159999999999999964e+01,5.790320658527624512e+10,2.246593783952903748e+09,4.142694874605902244e-01,6.396898433906869630e-02
1.170000000000000107e+01,5.830417046362582397e+10,2.299268979785994053e+09,4.156255436358377575e-01,5.747654499406232298e-02
1.180000000000000071e+01,5.870342944986563110e+10,2.355537285639165401e+09,4.176698553515633128e-01,5.118802910066144740e-02
1.190000000000000036e+01,5.910046881750760651e+10,2.415140932121851921e+09,4.199514442159509864e-01,4.728078448945159662e-02
1.200000000000000000e+01,5.949528856655186462e+10,2.477516204973113537e+09,4.223182533090039104e-01,4.801809798570964155e-02
1.209999999999999964e+01,5.988820022236280823e+10,2.542061198566647530e+09,4.243803446622676501e-01,5.072588341464517869e-02
1.220000000000000107e+01,6.027961465136120605e+10,2.608997324989824295e+09,4.262540888724172805e-01,5.245251101879820632e-02
1.230000000000000071e+01,6.067019143124066162e+10,2.678773826972006798e+09,4.273560736744208555e-01,5.373901697825990420e-02
1.233000000000000007e+01,6.080000000000020599e+10,2.700000000000005245e+09,3.896608425733646408e-01,5.631391067811063189e-02
