Lookback time (Gyr), SFR (Msun/yr-1)
0.0, 2.502067520520674
0.12252244580160099, 2.502067520520674
0.32148105793328297, 2.5211262207112615
0.639814837343974, 2.5663906336639073
0.8586693106888243, 2.5792552562925515
1.0775237840336747, 2.6032692185326916
1.296378257378525, 2.6289984637899835
1.5152327307233753, 2.649581859995818
1.7340872040682251, 2.6701652562016527
1.952941677413076, 2.688175727881756
2.1717961507579258, 2.7104744071047424
2.3906506241027765, 2.7327730863277306
2.6095050974476264, 2.7447800674478007
2.8283595707924762, 2.7585023315850226
3.047214044137327, 2.774797520247974
3.266068517482177, 2.7962385579623845
3.4849229908270276, 2.809960822099608
3.7037774641718775, 2.82368308623683
3.9226319375167273, 2.842551199425511
4.141486410861578, 2.8562734635627347
4.360340884206428, 2.8699957276999566
4.579195357551279, 2.879429784294297
4.798049830896129, 2.897440255974402
5.016904304240978, 2.9068743125687426
5.156175332733156, 2.9194530546945305
5.534196695783352, 2.9377494068774936
5.753051169128202, 2.9437528974375287
5.971905642473052, 2.954044595540445
6.190760115817902, 2.9574751615747505
6.409614589162754, 2.966051576660515
6.6284690625076035, 2.9754856332548556
6.847323535852453, 2.990065538900655
7.066178009197303, 2.997784312477842
7.285032482542153, 3.014937142649371
7.503886955887005, 3.045812236958122
7.722741429231855, 3.09641308596413
7.9415959025767044, 3.20876412358764
8.130606584101802, 3.3762186281371864
8.395221538236939, 3.7653734626537343
8.498680016545414, 3.971035896410358
8.588211392004672, 4.208774122587741
8.657846906250759, 4.397455254474552
8.717534489890264, 4.617583241675833
8.777222073529769, 4.866013398660134
8.836909657169274, 5.117588241175882
8.906545171415363, 5.390389711028897
8.956284824448282, 5.621524097590241
8.97618068566145, 5.7936956304369565
9.005328596802842, 6
9.051509769094137, 6.218978102189781
9.097690941385435, 6.547445255474452
9.166962699822381, 6.766423357664234
9.213143872113678, 7.0510948905109485
9.28241563055062, 7.37956204379562
9.328596802841918, 7.7299270072992705
9.397868561278864, 8.05839416058394
9.44404973357016, 8.343065693430656
9.559502664298401, 8.67153284671533
9.674955595026644, 8.978102189781023
9.767317939609235, 8.75912408759124
9.882770870337477, 8.496350364963504
9.952042628774423, 8.299270072992702
9.975133214920072, 7.97080291970803
10.030661329959367, 7.56100889911009
10.070453052385702, 7.300786171382862
10.110244774812038, 7.042135786421358
10.150036497238375, 6.84087591240876
10.182948490230906, 6.547445255474452
10.20972408087788, 6.1875674932506755
10.237578286576316, 5.8993570642935715
10.249515803304217, 5.737091290870913
10.298401420959147, 5.299270072992701
10.390763765541742, 4.8175182481751815
10.41385435168739, 4.467153284671532
10.436944937833038, 3.963503649635035
10.50621669626998, 3.416058394160583
10.575488454706926, 2.978102189781021
10.621669626998225, 2.5839416058394153
10.637485096960996, 2.3502649735026484
10.677276819387332, 2.02950704929507
10.760176241108866, 1.7024597540245967
10.836443709092679, 1.461105139486051
10.906079223338766, 1.2401909809019092
10.975714737584855, 1.0066980801919794
11.065246113044113, 0.8030796920307957
11.164725419109953, 0.5710018998100193
11.3238923088153, 0.3613943151139427
11.54274678216015, 0.22159874921598544
11.761601255505, 0.15813327758133333
11.980455728849849, 0.07236912672368945
12.1993102021947, 0.05092808900927892
12.328633300080293, 0.01061893810618919
